Id;Libelle;Date;Dep;Commune;Region;Categorie;Sous_cat;Comment;Meteo;LONG;LAT;Visite
1;Ploumanac'h;27/04/2025;22;Perros-Guirec;Bretagne;Villes;51;Visite du centre du village - balade sentier côtier;Soleil;-387.962.204;6.246.355.507;OUI
2;Sept-îles;27/04/2025;22;Perros-Guirec;Bretagne;Littoral;14;Croisière au départ de Perros-Guirec - 45min pour le tour des 7 îles;Nuage;-388.519.481;6.254.294.849;OUI
3;Port Perros-Guirec;27/05/2025;22;Perros-Guirec;Bretagne;Villes;51;Balade au port et centre à proximité;Soleil;-383.077.669;6.242.228.869;OUI
4;Île de Brehat;09/05/2025;22;Île-de-Bréhat;Bretagne;Littoral;13;Découverte de l'île - Tour presque complet en marche;Soleil;-334.012.316;6.248.728.811;OUI
5;Paimpol;09/05/2025;22;Paimpol;Bretagne;Villes;51;Visite du centre-ville ainsi que du port;Nuage;-339.017.129;6.237.528.933;OUI
6;Abbaye de Beauport;09/05/2025;22;Paimpol;Bretagne;Patrimoine;23;Découverte du site - pas de visite à l'intérieur;Nuage;-336.132.523;6.235.523.199;OUI
7;Saint-Quay-Portrieux;03/05/2025;22;Saint-Quay-Portrieux;Bretagne;Villes;51;Marche le long du sentier côtier et centre-ville;Vent;-314.773.569;6.215.186.762;OUI
8;Binic;20/04/2025;22;Binic-étables-sur-Mer;Bretagne;Villes;51;Marche le long du sentier côtier et centre-ville;Soleil;-314.671.402;6.207.466.151;OUI
10;Plage les Rosaires;19/04/2025;22;Plérin;Bretagne;Littoral;11;Balade avec le chien;Pluie;-306.892.741;6.201.227.433;OUI
9;Plage tournemine;02/03/2025;22;Plérin;Bretagne;Littoral;11;Balade;Nuage;-308.605.440;6.202.261.646;OUI
11;Plage St-Martin;12/04/2025;22;Plérin;Bretagne;Littoral;11;Balade le long du sentier côtier;Soleil;-303.450.626;6.199.978.203;OUI
12;Pointe du Roselier;22/03/2025;22;Plérin;Bretagne;Nature;25;Marche sportive;Nuage;-302.206.969;6.199.544.456;OUI
13;Plage St-laurent de la Mer;22/03/2025;22;Plérin;Bretagne;Littoral;51;Marche sportive;Nuage;-303.242.576;6.198.078.817;OUI
15;Port Le Légué;22/03/2025;22;Plérin;Bretagne;Littoral;12;Marche sportive;Nuage;-305.690.880;6.194.536.392;OUI
16;Parc de Gouédic;22/03/2025;22;Saint-Brieuc;Bretagne;Nature;33;Marche pour rejoindre le port depuis le centre de St-Brieuc;Nuage;-306.034.534;6.193.246.295;OUI
17;Centre-ville;09/03/2025;22;Saint-Brieuc;Bretagne;Villes;51;Balade;Nuage;-307.379.430;6.192.692.733;OUI
18;Viaduc de Douvenant;29/03/2025;22;Saint-Brieuc;Bretagne;Patrimoine;21;Marche depuis St-Brieuc;Pluie;-302.690.871;6.193.264.871;OUI
19;Barrage du Gouët;13/04/2025;22;La Méaugon;Bretagne;Patrimoine;21;Marche autour du lac;Nuage;-314.908.245;6.191.108.208;OUI
20;Pléneuf-Val-André;04/05/2025;22;Pléneuf-Val-André;Bretagne;Villes;51;Marche sur le sentier côtier et jeu avec le chien;Soleil;-284.514.347;6.205.365.216;OUI
21;Port du Dahouët;04/05/2025;22;Pléneuf-Val-André;Bretagne;Littoral;12;Balade;Soleil;-285.413.421;6.203.485.334;OUI
22;Cap Fréhel;05/04/2025;22;Plévenon;Bretagne;Patrimoine;25;Balade et photo oiseau;Soleil;-258.123.557;6.221.437.090;OUI
23;Fort la Latte;05/04/2025;22;Plévenon;Bretagne;Patrimoine;25;Balade depuis le Cap Fréhel, détente au bord de la plage;Soleil;-254.348.933;6.218.763.088;OUI
24;Saint-Cast-le-Guildo;08/05/2025;22;Saint-Cast-le-Guildo;Bretagne;Villes;51;Balade depuis le port, sentier côtier et retour par quartier résidentiels;Soleil;-251.102.794;6.213.109.511;OUI
25;Saint-Malo;10/05/2025;35;Saint-Malo;Bretagne;Villes;51;Balade du centre-ville le matin, repas au centre;Soleil;-225.445.752;6.215.542.955;OUI
26;Mémorial 39/45;10/05/2025;35;Saint-Malo;Bretagne;Patrimoine;22;Film et visite guidée du mémorial sur la libération de la ville lors du débarquement;Soleil;-225.895.289;6.213.592.485;OUI
27;Mont Saint-Michel;02/05/2025;50;Le Mont Saint-Michel;Normandie;Patrimoine;21;Demi journée au mont et visite de l'abbaye;Nuage;-168.248.680;6.213.332.422;OUI
28;;;;Erquy;;;;;;-274.660.758;6.212.392.481;NON
29;;;;Hillion;;;;;;-297.133.889;6.196.476.645;NON
30;;;;Saint-Brieuc;;;;;;-302.461.459;6.194.936.702;NON
31;;;;Pordic;;;;;;-310.333.928;6.204.527.443;NON
32;;;;Plouha;;;;;;-321.005.786;6.222.482.913;NON
33;;;;Plouha;;;;;;-328.218.810;6.228.651.972;NON
34;;;;Plouézec;;;;;;-328.538.316;6.235.982.024;NON
35;;;;Pleubian;;;;;;-345.290.997;6.252.324.178;NON
36;;;;Brest;;;;;;-498.937.888;6.172.163.570;NON
37;;;;Brest;;;;;;-500.149.037;6.170.606.909;NON
38;;;;Brest;;;;;;-493.799.793;6.172.014.963;NON
39;;;;Plouzané;;;;;;-513.616.569;6.163.079.952;NON
40;;;;Ouessant;;;;;;-565.506.505;6.183.171.652;NON
41;;;;Guerlédan;;;;;;-332.421.609;6.140.328.183;NON
42;;;;Guerlédan;;;;;;-335.427.190;6.139.919.513;NON
43;;;;Guingamp;;;;;;-350.778.319;6.200.725.883;NON
44;;;;Vannes;;;;;;-306.864.877;6.049.971.260;NON
45;;;;Lorient;;;;;;-374.117.088;6.065.002.883;NON
